SN,MPLS/Switch,Full SOLAR POP,Down Time,Up Time,Type,Region,Reason/Issue,Date,Duration,Remarks(from mail if any),Category,,Province
12,mbelauri-sw1,FALSE,7/31/2025 7:37:30,7/31/2025 9:07:49,Switch,Far Western Region,Rebooted,15th Shrawan,"0 days, 01 hrs, 30 min",,Power,0.06271990741,Prov7
13,mchabahil <->msundarijal [10G],,7/31/2025 8:55:32,7/31/2025 12:00:32,Link Down,********,Fiber Breakage,15th Shrawan,"0 days, 03 hrs, 05 min",,Fiber,0.1284722222,**********
14,mjamune-sw1,FALSE,7/31/2025 8:51:31,7/31/2025 10:13:41,Switch,Highway PoP,Rebooted,15th Shrawan,"0 days, 01 hrs, 22 min",,Power,0.05706018519,Prov4
15,mjalbire,FALSE,7/31/2025 9:53:00,7/31/2025 11:30:19,MPLS,********,Rebooted,15th Shrawan,"0 days, 01 hrs, 37 min",,Power,0.06758101851,Prov3
16,mnaudanda,FALSE,7/31/2025 10:23:27,7/31/2025 13:57:40,MPLS,********,Fiber Breakage,15th Shrawan,"0 days, 03 hrs, 34 min",,Fiber,0.1487615741,Prov4
17,mgankhu-sw1,TRUE,7/31/2025 10:44:28,7/31/2025 12:08:49,Switch,Gorkha NTA,Device Replacement,15th Shrawan,"0 days, 01 hrs, 24 min",,Maintainance,0.05857638889,**********
18,mmarsyangdi<->mgorkha [10G],,7/31/2025 11:24:00,7/31/2025 11:38:44,Link Down,********,Unknown,15th Shrawan,"0 days, 00 hrs, 14 min",,Unknown,0.01023148148,**********
19,mjalbire,FALSE,7/31/2025 11:52:00,7/31/2025 12:12:00,MPLS,********,Rebooted,15th Shrawan,"0 days, 00 hrs, 20 min",,Power,0.01388888889,Prov3
20,mkolkoche-sw1,,7/31/2025 11:01:58,7/31/2025 13:04:09,Switch,********,Rebooted,15th Shrawan,"0 days, 02 hrs, 02 min",,Power,0.08484953704,Prov5
21,mkohalpur - mbutwal-dh [100G],,7/31/2025 13:11:00,7/31/2025 13:12:00,Link Flap,********,Unknown,15th Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444467,**********
22,mdamak <-> mduhabi [40G],,7/31/2025 13:19:33,7/31/2025 15:25:00,Link Down,********,Fiber Breakage,15th Shrawan,"0 days, 02 hrs, 05 min",,Fiber,0.08711805556,**********
23,mnijhgadh <-> mhariwan [40G] : mnijhgadh <-> mchapur[40G],,7/31/2025 13:23:26,7/31/2025 17:32:00,Link Down,********,Fiber Breakage,15th Shrawan,"0 days, 04 hrs, 08 min","As per Niraj Jee, Links are affected due to fiber breakages at Nijgadh Jungle side. Team is working. ETR 3 hours.",Fiber,0.1726157407,**********
24,mbirgunj-nea <-> mbardibas [200G],,7/31/2025 13:23:00,7/31/2025 17:41:00,Link Down,********,Fiber Breakage,15th Shrawan,"0 days, 04 hrs, 18 min","As per Niraj Jee, Links are affected due to fiber breakages at Nijgadh Jungle side. Team is working. ETR 3 hours.",Fiber,0.1791666667,**********
25,mairport-tia-WL-sw3,,7/31/2025 14:04:18,7/31/2025 17:05:24,Switch,********,Unknown,15th Shrawan,"0 days, 03 hrs, 01 min",,Unknown,0.1257638889,Prov3
26,mchitredanda-lamjung-sw1,,7/31/2025 14:28:03,7/31/2025 16:35:19,Switch,********,Unknown,15th Shrawan,"0 days, 02 hrs, 07 min",,Unknown,0.08837962963,Prov5
27,mkolkoche-sw1,,7/31/2025 14:35:28,7/31/2025 18:43:57,Switch,********,Unknown,15th Shrawan,"0 days, 04 hrs, 08 min",,Unknown,0.1725578704,Prov5
28,mbardibas-te-0-0-0-26:To-mhariwan-LAG-BE1-te-0-0-0-26-[40G],,7/31/2025 15:10:49,7/31/2025 15:15:00,Traffic Congestion,********,Congestion,15th Shrawan,"0 days, 00 hrs, 04 min",,Traffic Issue,0.002905092588,**********
29,mhaleshi-sw1,FALSE,7/31/2025 15:53:26,7/31/2025 17:19:01,Switch,Eastern Region,Rebooted,15th Shrawan,"0 days, 01 hrs, 25 min",,Power,0.05943287037,Prov1
30,mbalaju <-> mmaharajgunj [100G],,7/31/2025 17:31:00,7/31/2025 17:35:00,Link Flap,********,Link Flap,15th Shrawan,"0 days, 00 hrs, 04 min",,Link Issue,0.00277777778,**********
31,mjalbire,FALSE,7/31/2025 17:25:00,7/31/2025 17:55:19,MPLS,********,Rebooted,15th Shrawan,"0 days, 00 hrs, 30 min",,Power,0.02105324074,Prov3
32,mnaamdanda-sw1,TRUE,7/31/2025 17:16:24,8/2/2025 10:27:34,Switch,Central Region,Full Solar POP,15th Shrawan,"1 days, 17 hrs, 11 min",,Power,1.716087963,Prov3
33,mrindanda-sw1,FALSE,7/31/2025 17:47:59,8/2/2025 10:27:40,Switch,Central Region,Unknown,15th Shrawan,"1 days, 16 hrs, 39 min","The landlord (9862951006) was called several times but did not pick up the phone, so we are unable to confirm the issue. We will try to contact him again and update you once we have any information.",Unknown,1.694224537,Prov3
34,msirdibas-sw1,TRUE,7/31/2025 18:23:20,8/1/2025 7:45:30,Switch,Gorkha NTA,Full Solar POP,15th Shrawan,"0 days, 13 hrs, 22 min",,Power,0.5570601852,**********
35,mchainpur,,7/31/2025 19:19:00,7/31/2025 19:28:44,MPLS,********,Rebooted,15th Shrawan,"0 days, 00 hrs, 09 min",,Power,0.00675925926,Prov1
36,mbaitadibazaar,FALSE,7/31/2025 19:36:13,7/31/2025 19:50:00,MPLS,********,Rebooted,15th Shrawan,"0 days, 00 hrs, 13 min",,Power,0.009571759263,Prov7
37,mbardibas-te-0-0-0-26:To-mhariwan-LAG-BE1-te-0-0-0-26-[40G],,7/31/2025 20:03:53,7/31/2025 22:10:00,Traffic Congestion,********,Congestion,15th Shrawan,"0 days, 02 hrs, 06 min",,Traffic Issue,0.08758101852,**********
38,mnijhgadh <-> mhariwan [40G] || Optical power issue,,7/31/2025 19:46:00,8/1/2025 12:35:00,Optical Power,********,Optical Power,15th Shrawan,"0 days, 16 hrs, 49 min",,Fiber,0.7006944444,**********
39,mjamune-sw1,FALSE,7/31/2025 20:33:41,8/1/2025 4:15:53,Switch,Highway PoP,Unknown,15th Shrawan,"0 days, 07 hrs, 42 min",,Unknown,0.3209722222,Prov4
40,mkakanidanda-sw1,TRUE,7/31/2025 20:43:49,8/1/2025 11:19:54,Switch,Central Region,Manual Reboot,15th Shrawan,"0 days, 14 hrs, 36 min","Anna Ji has been informed to look into this matter. According to him, he is currently unable to visit POP due to incessant rains. However, he will visit POP as soon as the rain stops.",Power,0.6083912037,Prov3
41,mbalaju-te-0-0-0-0:To-mranibari-xe-2-0-2,,7/31/2025 21:04:59,7/31/2025 22:00:00,Traffic Congestion,********,Congestion,15th Shrawan,"0 days, 00 hrs, 55 min",,Traffic Issue,0.03820601851,**********
42,mdatahub-et-3-1-5:To-mhetauda-et-1-1-5-via-pss32-dh-01#1-8-C2-LAG-[200G]-ae9,,7/31/2025 21:10:20,7/31/2025 22:10:00,Traffic Congestion,********,Congestion,15th Shrawan,"0 days, 00 hrs, 59 min",,Traffic Issue,0.04143518519,**********
43,mdatahub-et-4-0-5:To-mhetauda-et-1-0-5-via-pss32-dh-01#1-8-C1-LAG-[200G]-ae9,,7/31/2025 21:10:20,7/31/2025 22:10:00,Traffic Congestion,********,Congestion,15th Shrawan,"0 days, 00 hrs, 59 min",,Traffic Issue,0.04143518519,**********
44,mnijhgadh-te-0-0-0-19:To-mhariwan-te-0-0-0-19-LAG-BE2-CH51-[40G],,7/31/2025 21:34:58,7/31/2025 22:10:00,Traffic Congestion,********,Congestion,15th Shrawan,"0 days, 00 hrs, 35 min",,Traffic Issue,0.0243287037,**********
45,mpatan-baitadi-sw1,,7/31/2025 21:03:22,8/1/2025 8:05:38,Switch,********,Rebooted,15th Shrawan,"0 days, 11 hrs, 02 min",,Power,0.4599074074,Prov7
46,mletang,FALSE,7/31/2025 22:31:15,7/31/2025 22:46:33,MPLS,Eastern Region,Rebooted,15th Shrawan,"0 days, 00 hrs, 15 min",,Power,0.010625,Prov1
47,ae3 LACP-[20G]-with-Airtel-Forbisganj-II at-mbrt,,7/31/2025 22:29:00,,Link Down,********,,15th Shrawan,"3 days, 18 hrs, 16 min",We are coordinating with airtel regarding to link down. We will update you shortly further once we heard from them.,,3.761516238,**********
48,ae11 LACP-[100G]-with-Airtel-Raxaul#et-0-1-5-via-Adarsanagar-ADSS at-mbirgunj-nea,,7/31/2025 22:36:00,,Link Down,********,,15th Shrawan,"3 days, 18 hrs, 09 min",We are coordinating with airtel regarding to link down. We will update you shortly further once we heard from them.,,3.756655127,**********
49,mkataridanda-sw1,FALSE,7/31/2025 22:50:18,8/1/2025 8:13:03,Switch,Eastern Region,Rebooted,15th Shrawan,"0 days, 09 hrs, 22 min",,Power,0.3907986111,**********
1,mbuditola-sw1,FALSE,8/1/2025 0:16:33,8/1/2025 7:58:44,Switch,Far Western Region,Rebooted,16th Shrawan,"0 days, 07 hrs, 42 min",,Power,0.3209606481,Prov7
2,mranjha-sw1,FALSE,8/1/2025 1:22:13,8/1/2025 2:51:00,Switch,Far Western Region,Rebooted,16th Shrawan,"0 days, 01 hrs, 28 min",,Power,0.06165509259,Prov5
3,mbhalukharka-markhu-sw1,TRUE,8/1/2025 1:36:10,8/1/2025 11:41:01,Switch,Makawanpur NTA,Rebooted,16th Shrawan,"0 days, 10 hrs, 04 min",Local support has been informed and is expected to reach the POP site in approximately 2 hours. We will provide further updates accordingly.,Power,0.4200347222,Prov3
4,mjumlabazaar-sw1,TRUE,8/1/2025 1:40:11,8/1/2025 7:22:22,Switch,Far Western Region,Unknown,16th Shrawan,"0 days, 05 hrs, 42 min",,Unknown,0.2376273148,Prov6
5,mhariwan - mmalangwa [10G],,8/1/2025 3:17:42,8/1/2025 12:12:00,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 08 hrs, 54 min","As per Digendra Jee, Fiber breakages is measured at the distance of 6400 m from Hariwan Pop. Team is working.",Fiber,0.3710416667,**********
6,mbuchakot-sw1,FALSE,8/1/2025 3:43:10,8/1/2025 11:07:28,Switch,Central Region,Rebooted,16th Shrawan,"0 days, 07 hrs, 24 min",Informed to Badri ji to look into issue and update accordingly.,Power,0.3085416667,Prov3
7,mdhusel-sw1,FALSE,8/1/2025 4:38:29,8/1/2025 8:00:39,Switch,Makawanpur NTA,Rebooted,16th Shrawan,"0 days, 03 hrs, 22 min",,Power,0.1403935185,Prov3
8,mchitredanda-lamjung-sw1,,8/1/2025 5:35:24,8/1/2025 7:30:40,Switch,********,Rebooted,16th Shrawan,"0 days, 01 hrs, 55 min",,Power,0.08004629629,Prov5
9,mkhadichaur <->maahaldanda [1G],,8/1/2025 6:53:56,8/1/2025 7:30:40,Link Down,********,Rebooted,16th Shrawan,"0 days, 00 hrs, 36 min",,Power,0.02550925926,**********
10, mjamune-sw1,,8/1/2025 6:05:53,8/1/2025 7:40:42,Switch,********,Rebooted,16th Shrawan,"0 days, 01 hrs, 34 min",,Power,0.0658449074,**********
11,mchapagaun - mtalchikhel,,8/1/2025 7:55:00,8/1/2025 15:03:46,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 07 hrs, 08 min",It's Acknowledged and Currently morning team are engaged on several task. We will update once the team gets managed.,Fiber,0.2977546296,**********
12,mrudrabeni-sw1,FALSE,8/1/2025 8:22:58,,Switch,Western Region,,16th Shrawan,"3 days, 08 hrs, 22 min","Call made to Mahesh jee(9801563389) has declined his call, so unable to verify power status now.",,3.349039387,Prov5
13,mchabahil - maarubari-dls-sw,,8/1/2025 9:03:00,8/1/2025 14:01:53,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 04 hrs, 58 min",Informed to Jorpati team and matter will be checked only after completing the task of METROMARKET_KHARIBOT-GUJESHWORI_BO_INTERNET-INTRANET_PL_F.,Fiber,0.2075578704,**********
14,mlahan-office-sw1,FALSE,8/1/2025 9:50:54,8/1/2025 9:53:54,Switch,********,Rebooted,16th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002083333333,Prov2
15,mdevinagar-sw1,FALSE,8/1/2025 7:24:40,8/1/2025 18:55:51,Switch,Western Region,Rebooted,16th Shrawan,"0 days, 11 hrs, 31 min",,Power,0.4799884259,Prov5
16,mpatale-sw1,FALSE,8/1/2025 9:33:50,8/1/2025 16:29:25,Switch,Eastern Region,Rebooted,16th Shrawan,"0 days, 06 hrs, 55 min",,Power,0.288599537,Prov1
17,mguleriya-sw1,FALSE,8/1/2025 10:46:36,8/1/2025 10:51:16,Switch,Far Western Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.003240740742,Prov5
18,mburtibang-sw1,FALSE,8/1/2025 11:41:04,,Switch,Western Region,,16th Shrawan,"3 days, 05 hrs, 04 min","Call made to Mahesh jee(9801563389) has declined his call, so unable to verify power status now.",,3.211469942,Prov5
19,mdevinagar-sw1,FALSE,8/1/2025 11:53:56,8/1/2025 18:55:51,Switch,Western Region,Rebooted,16th Shrawan,"0 days, 07 hrs, 01 min",,Power,0.2929976852,Prov5
20,mmaharajgunj <-> mnarayanthan [10G],,8/1/2025 11:44:11,8/1/2025 13:24:00,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 01 hrs, 39 min",,Fiber,0.06931712963,**********
21,mbaishjangar-dls-sw1,FALSE,8/1/2025 11:56:23,8/1/2025 12:21:58,Switch,********,Rebooted,16th Shrawan,"0 days, 00 hrs, 25 min",,Power,0.0177662037,Prov4
22,mpathichaur-sw1,FALSE,8/1/2025 11:17:54,8/1/2025 15:00:04,Switch,Western Region,CT Line Issue,16th Shrawan,"0 days, 03 hrs, 42 min",,Power,0.1542824074,Prov4
23,mhaleshi-sw1,FALSE,8/1/2025 12:39:01,8/1/2025 16:24:36,Switch,Eastern Region,Rebooted,16th Shrawan,"0 days, 03 hrs, 45 min",,Power,0.1566550926,Prov1
24,mdudhauli-sw1,FALSE,8/1/2025 12:55:31,8/1/2025 14:57:43,Switch,Eastern Region,Cable Issue,16th Shrawan,"0 days, 02 hrs, 02 min",,Fiber,0.08486111111,Prov1
25,mtimure-sw1,FALSE,8/1/2025 13:17:28,,Switch,Highway PoP,,16th Shrawan,"3 days, 03 hrs, 28 min","As per Rajkumar ji , team will be forwarded tomorrow morning . ",,3.144525498,Prov3
26,mairport-tia-WL-sw3,,8/1/2025 13:38:03,8/1/2025 15:53:33,Switch,********,Rebooted,16th Shrawan,"0 days, 02 hrs, 15 min",,Power,0.09409722222,Prov3
27,mkumpur-sw1,TRUE,8/1/2025 14:55:31,8/1/2025 16:46:31,Switch,Dhading NTA,Rebooted,16th Shrawan,"0 days, 01 hrs, 51 min",,Power,0.07708333333,Prov3
28,mjoghbudha-sw1,TRUE,8/1/2025 14:59:59,8/1/2025 17:46:19,Switch,Far Western Region,Unknown,16th Shrawan,"0 days, 02 hrs, 46 min",,Unknown,0.1155092593,Prov7
29,mkarsiya-sw1,FALSE,8/1/2025 15:06:23,8/1/2025 15:16:23,Switch,Eastern Region,Routed,16th Shrawan,"0 days, 00 hrs, 10 min",,Fiber,0.006944444438,Prov1
30,mbrt-neuro-sw1-mkarsiya-sw1,,8/1/2025 15:16:23,8/1/2025 18:48:31,Link Down,********,Fiber Issue,16th Shrawan,"0 days, 03 hrs, 32 min",,Fiber,0.1473148148,**********
31,mdoti-sw1,FALSE,8/1/2025 15:15:12,8/1/2025 18:36:36,Switch,Far Western Region,Rebooted,16th Shrawan,"0 days, 03 hrs, 21 min",,Power,0.1398611111,Prov7
32,mgalyang,FALSE,8/1/2025 15:24:12,8/1/2025 16:05:20,MPLS,Western Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 41 min",,Power,0.02856481481,Prov4
33,mkharbang <-> mgulmi [10G],,8/1/2025 15:32:12,8/1/2025 16:12:24,Link Down,********,Unknown,16th Shrawan,"0 days, 00 hrs, 40 min",,Unknown,0.02791666667,**********
34,mjamune-sw1,FALSE,8/1/2025 15:40:27,8/1/2025 15:49:56,Switch,Highway PoP,Rebooted,16th Shrawan,"0 days, 00 hrs, 09 min",,Power,0.006585648145,Prov4
35,mfaparbari-sw1,FALSE,8/1/2025 16:00:11,8/1/2025 16:42:21,Switch,Central Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02928240741,**********
36,mjujeneta-sw1,FALSE,8/1/2025 16:00:31,8/1/2025 16:42:42,Switch,Western Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 42 min",,Power,0.02929398148,Prov5
37,mlahan-office-sw1,FALSE,8/1/2025 16:25:15,8/1/2025 16:47:25,Switch,********,Rebooted,16th Shrawan,"0 days, 00 hrs, 22 min",,Power,0.01539351852,Prov2
38,mpathari <-> mdamak [10G],,8/1/2025 16:26:43,8/1/2025 21:21:43,Link Down,********,Fiber Issue,16th Shrawan,"0 days, 04 hrs, 55 min",call made to Bijay ji is not reachable informed to Om ji ,Fiber,0.2048611111,**********
39,murlabari-dls-sw1,FALSE,8/1/2025 16:22:50,8/1/2025 18:45:43,Switch,Eastern Region,Routed,16th Shrawan,"0 days, 02 hrs, 22 min",,Fiber,0.09922453704,Prov1
40,mdamak - mletang [10G],,8/1/2025 16:26:43,8/1/2025 21:25:13,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 04 hrs, 58 min",As per Pradip ji Team is on the way,Fiber,0.2072916667,**********
41,mpathichaur-sw1,FALSE,8/1/2025 17:00:04,8/2/2025 17:14:24,Switch,Western Region,Rebooted,16th Shrawan,"1 days, 00 hrs, 14 min",,Power,1.009953704,Prov4
42,mdumkibas <-> mbardaghat [10G],,8/1/2025 17:44:29,8/2/2025 10:00:35,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 16 hrs, 16 min",Team will look into the issue tomorrow,Fiber,0.6778472222,**********
43,mdulegauda <-> mdamauli [10G],,8/1/2025 18:18:29,8/2/2025 12:08:13,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 17 hrs, 49 min",Informed to Sundar ji team will look into the issue tomorrow,Fiber,0.7428703704,**********
44,msirdibas-sw1,TRUE,8/1/2025 18:35:31,8/2/2025 7:27:41,Switch,Gorkha NTA,Full Solar POP,16th Shrawan,"0 days, 12 hrs, 52 min",,Power,0.5362268519,**********
45,mdamak-murlabari-dls-sw1,,8/1/2025 16:26:57,8/2/2025 5:06:57,Link Down,********,Fiber Breakage,16th Shrawan,"0 days, 12 hrs, 40 min",,Fiber,0.5277777778,**********
46,mpatan-baitadi-sw1,,8/1/2025 19:15:38,8/2/2025 9:07:57,Switch,********,Rebooted,16th Shrawan,"0 days, 13 hrs, 52 min",,Power,0.5779976852,Prov7
47,butwal-core-et-0-0-0:To-mbutwal-dh-et-1-0-2-LAG-ae11-[100G],,8/1/2025 19:25:24,8/1/2025 22:00:00,Traffic Congestion,********,Congestion,16th Shrawan,"0 days, 02 hrs, 34 min",,Traffic Issue,0.1073611111,**********
48,mmidmarsyangdi-dam-sw1,FALSE,8/1/2025 19:30:31,8/1/2025 19:38:05,Switch,Highway PoP,Rebooted,16th Shrawan,"0 days, 00 hrs, 07 min",,Power,0.005254629636,Prov4
49,mhatemalo-dls-sw1,FALSE,8/1/2025 19:37:14,8/1/2025 19:48:14,Switch,********,Rebooted,16th Shrawan,"0 days, 00 hrs, 11 min",,Power,0.007638888885,Prov4
50,mbirgunj-nea-ae13-Connected-to-NDS-for-Transit-80G,,8/1/2025 19:49:54,8/1/2025 22:00:00,Traffic Congestion,********,Congestion,16th Shrawan,"0 days, 02 hrs, 10 min",,Traffic Issue,0.09034722222,**********
51,mbardibas-te-0-0-0-26:To-mhariwan-LAG-BE1-te-0-0-0-26-[40G],,8/1/2025 20:03:05,8/1/2025 22:00:00,Traffic Congestion,********,Congestion,16th Shrawan,"0 days, 01 hrs, 56 min",,Traffic Issue,0.08119212963,**********
52,mjamune-sw1,FALSE,8/1/2025 20:19:56,8/2/2025 7:42:06,Switch,Highway PoP,Unknown,16th Shrawan,"0 days, 11 hrs, 22 min",,Unknown,0.4737268519,Prov4
53,mjoghbudha-sw1,TRUE,8/1/2025 19:21:52,,Switch,Far Western Region,,16th Shrawan,"2 days, 21 hrs, 23 min",,,2.891469942,Prov7
54,mbhulbhule-sw1,FALSE,8/1/2025 21:35:52,8/1/2025 21:39:52,Switch,Highway PoP,Rebooted,16th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.00277777778,Prov4
55,minaruwa-dls-sw1,FALSE,8/1/2025 21:35:52,8/1/2025 21:39:52,Switch,Eastern Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 04 min",,Power,0.00277777778,Prov1
56,mbuditola-sw1,FALSE,8/1/2025 21:48:44,8/2/2025 8:05:00,Switch,Far Western Region,Rebooted,16th Shrawan,"0 days, 10 hrs, 16 min",,Power,0.427962963,Prov7
57,mkataridanda-sw1,FALSE,8/1/2025 22:20:24,8/2/2025 5:26:52,Switch,Eastern Region,Rebooted,16th Shrawan,"0 days, 07 hrs, 06 min",,Power,0.2961574074,**********
58,mdevinagar-sw1,FALSE,8/1/2025 22:47:00,8/1/2025 23:11:26,Switch,Western Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 24 min",,Power,0.01696759259,Prov5
59,mhaleshi-sw1,FALSE,8/1/2025 23:53:00,8/1/2025 23:55:00,Switch,Eastern Region,Rebooted,16th Shrawan,"0 days, 00 hrs, 02 min",,Power,0.001388888893,Prov1
60,mkhadichaur <->maahaldanda,,8/1/2025 6:56:25,,Link Down,********,,16th Shrawan,"3 days, 09 hrs, 49 min","As per Team, 500m fiber needs to be replaced on 9 kilo side. Team will do the needful tomorrow.",,3.409143553,**********
1,mranjha-sw1,FALSE,8/2/2025 0:05:00,8/2/2025 6:57:41,Switch,Far Western Region,Rebooted,17th Shrawan,"0 days, 06 hrs, 52 min",,Power,0.2865856482,Prov5
2,mkakanidanda-sw1,TRUE,8/2/2025 0:09:54,8/3/2025 10:14:01,Switch,Central Region,Rebooted,17th Shrawan,"1 days, 10 hrs, 04 min",,Power,1.419525463,Prov3
3,mbajhangbazaar-sw1,FALSE,8/2/2025 0:48:28,8/2/2025 0:52:25,Switch,Far Western Region,Rebooted,17th Shrawan,"0 days, 00 hrs, 03 min",,Power,0.002743055556,Prov7
4,Te0/0/0/16 Connected-to-mnijhgadh-office#te-0-0-0-16-LAG-BE2-CH30 at-mhariwan,,8/2/2025 1:27:00,8/2/2025 1:28:00,Link Flap,********,Unknown,17th Shrawan,"0 days, 00 hrs, 01 min",,Unknown,0.0006944444467,**********
5,mshivgunj-sw1,,8/2/2025 2:25:44,8/2/2025 5:21:19,Switch,********,Rebooted,17th Shrawan,"0 days, 02 hrs, 55 min",,Power,0.1219328704,Prov1
6,mgorusinghe - mshivapur [20G],,8/2/2025 3:28:00,8/2/2025 12:37:13,Link Down,********,Fiber Breakage,17th Shrawan,"0 days, 09 hrs, 09 min",,Fiber,0.381400463,**********
7,mjumlabazaar-sw1,TRUE,8/2/2025 4:16:20,8/2/2025 6:28:34,Switch,Far Western Region,Unknown,17th Shrawan,"0 days, 02 hrs, 12 min",,Unknown,0.09182870371,Prov6
8,mdhusel-sw1,FALSE,8/2/2025 5:21:03,8/2/2025 9:22:13,Switch,Makawanpur NTA,Rebooted,17th Shrawan,"0 days, 04 hrs, 01 min",,Power,0.1674768518,Prov3
9,mdevinagar-sw1,FALSE,8/2/2025 5:26:00,8/2/2025 5:31:00,Switch,Western Region,Rebooted,17th Shrawan,"0 days, 00 hrs, 05 min",,Power,0.003472222219,Prov5
10,mdevinagar-sw1,FALSE,,8/2/2025 8:07:01,Switch,Western Region,Rebooted,17th Shrawan,#VALUE!,,Power,,Prov5
11,mmanahari,FALSE,8/2/2025 5:54:57,8/2/2025 6:47:47,MPLS,Central Region,Rebooted,17th Shrawan,"0 days, 00 hrs, 52 min",,Power,0.03668981481,Prov3
12,mchitredanda-lamjung-sw1,,8/2/2025 5:55:49,8/2/2025 7:22:06,Switch,********,Rebooted,17th Shrawan,"0 days, 01 hrs, 26 min",,Power,0.05991898148,Prov5
13,mhaleshi-sw1,FALSE,8/2/2025 6:04:38,8/2/2025 6:40:14,Switch,Eastern Region,Rebooted,17th Shrawan,"0 days, 00 hrs, 35 min",,Power,0.02472222222,Prov1
14,msundarbazaar-iaas-sw1 ,,8/2/2025 6:29:13,8/2/2025 8:13:00,Switch,********,Rebooted,17th Shrawan,"0 days, 01 hrs, 43 min",,Power,0.07207175926,**********
15,msankrantibazaar ,,8/2/2025 7:13:19,8/2/2025 7:28:26,MPLS,********,Rebooted,17th Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01049768519,**********
16,mkhanar-sw1 - mitahari  [10G],,8/2/2025 7:26:30,8/2/2025 11:21:34,Link Down,********,Fiber Breakage,17th Shrawan,"0 days, 03 hrs, 55 min",,Fiber,0.1632407407,**********
17, mdoti-sw1,,8/2/2025 7:40:37,8/2/2025 10:32:55,Switch,********,CT Line Issue/Backup Drained,17th Shrawan,"0 days, 02 hrs, 52 min",,Power,0.1196527778,**********
18,mdudhauli-sw1,FALSE,8/2/2025 8:22:03,8/2/2025 9:14:14,Switch,Eastern Region,Unknown,17th Shrawan,"0 days, 00 hrs, 52 min",,Unknown,0.03623842592,Prov1
19,mlahan <-> mitahari-ch  [40G],,8/2/2025 9:17:52,8/2/2025 13:58:00,Link Down,********,Fiber Issue,17th Shrawan,"0 days, 04 hrs, 40 min",Our team is currently working to resolve the issue with the link. ETR is currently unavailable.,Fiber,0.194537037,**********
20,mtrishuli - mgalchi [10G],,8/2/2025 9:11:43,8/2/2025 13:38:00,Link Down,********,Fiber Issue,17th Shrawan,"0 days, 04 hrs, 26 min","As per Mahesh Ji, team is still working on it. ETR not provided.",Fiber,0.1849189815,**********
21,msankrantibazaar ,,8/2/2025 9:39:18,8/2/2025 9:54:34,MPLS,********,CT Line Issue,17th Shrawan,"0 days, 00 hrs, 15 min",,Power,0.01060185186,**********
22,mdamak <->mitahari,,8/2/2025 10:09:25,8/2/2025 13:14:41,Link Down,********,Optical Power,17th Shrawan,"0 days, 03 hrs, 05 min",,Fiber,0.1286574074,**********
23,mdolalghat <-> mpanchkhal [10G],,8/2/2025 10:46:35,8/3/2025 10:26:00,Link Down,********,Fiber Breakage,17th Shrawan,"0 days, 23 hrs, 39 min","As per Pradip Ji, team unable to work due to heavy rainfall. team will do the needful tomorrow.",Fiber,0.9857060185,**********
24,mhariwan <-> mnijhgadh [10G] -- Te0/0/0/16 ,,8/2/2025 10:44:29,8/2/2025 15:43:00,Link Down,********,Fiber Issue,17th Shrawan,"0 days, 04 hrs, 58 min",,Fiber,0.2073032407,**********
25,mtinkune<->mchabahil [100G],,8/2/2025 11:24:00,8/2/2025 11:39:25,Link Down,********,Unknown,17th Shrawan,"0 days, 00 hrs, 15 min",,Unknown,0.01070601852,**********
26,mdeupurdanda-sw1,FALSE,8/2/2025 11:30:11,8/2/2025 12:25:47,Switch,Central Region,Rebooted,17th Shrawan,"0 days, 00 hrs, 55 min",,Power,0.03861111111,Prov3
27,mitahari-ch <->mduhabi ,,8/2/2025 12:08:24,8/2/2025 15:15:00,Link Down,********,Fiber Breakage,17th Shrawan,"0 days, 03 hrs, 06 min",,Fiber,0.1295833333,**********
28,mduhabi <-> mitahari [10G] - PLUS FIBER,,8/2/2025 12:08:08,8/2/2025 15:38:08,Link Down,********,Fiber Breakage,17th Shrawan,"0 days, 03 hrs, 30 min",,Fiber,0.1458333333,**********
29,mbalaju <-> msoaltee [100G],,8/2/2025 12:31:25,8/2/2025 17:16:00,Link Down,********,Fiber Breakage,17th Shrawan,"0 days, 04 hrs, 44 min",Team B assigned .,Fiber,0.1976273148,**********
